"campaign","target_kib","S","R","mode","variant","tile","n","mean","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values"
"main","640","2","2","repeat","B","","10","35176680000","37256900000","12684300000","54270600000","9922207387.14929","413752535","True","413752535"
"main","512","16","1","repeat","B","","10","43724520000","42762100000","33723900000","56097000000","5976621708.42358","18446744061803098170","True","18446744061803098170"
"main","640","16","4","fused","A","","10","119779400000","116043000000","109325000000","135781000000","7960997000.37627","18446744064341133394","True","18446744064341133394"
"main","640","2","2","repeat","A","","10","34594770000","37616250000","17129000000","41201400000","6576962971.01481","1137017487","True","1137017487"
"main","640","4","8","repeat","A","","10","36571730000","39133450000","12980700000","46225200000","9446016977.54667","2920336307","True","2920336307"
"main","640","1","1","repeat","B","","10","37678600000","34989600000","29554000000","49625000000","6444733381.14154","158409371","True","158409371"
"main","384","2","1","repeat","B","","10","42436900000","46532800000","27588100000","52472500000","9233957073.64941","521725446","True","521725446"
"main","512","8","8","fused","B","","10","108708710000","105692500000","92238700000","128958000000","10557113588.5194","18446744066388976517","True","18446744066388976517"
"main","640","1","1","repeat","A","","10","42527680000","39086400000","34150000000","51768700000","7162204672.27794","158409371","True","158409371"
"main","640","4","16","repeat","B","","10","38657160000","38332500000","35932700000","43526900000","2418465198.09569","18446744072471115389","True","18446744072471115389"
"main","384","16","16","fused","A","","10","101274060000","101502500000","93782600000","109780000000","4990940549.67598","18446744058463905399","True","18446744058463905399"
"main","384","1","2","repeat","B","","10","31322970000","33758300000","17746200000","35961500000","5801667382.92536","297514844","True","297514844"
"main","768","8","2","fused","B","","10","94021480000","89184200000","57336000000","123544000000","19467088893.453","2441539021","True","2441539021"
"main","384","1","4","fused","B","","10","34597090000","32390250000","14309700000","51134500000","10566920198.5678","18446744073440685294","True","18446744073440685294"
"main","768","8","2","fused","A","","10","102292940000","101165050000","84653300000","129200000000","15709145724.8445","5665126491","True","5665126491"
"main","640","16","2","fused","A","","10","95339570000","95680100000","18734200000","135145000000","31983133111.2213","18446744064341133394","True","18446744064341133394"
"main","512","16","2","repeat","A","","10","39213700000","37066750000","30569900000","52608600000","6625210519.52314","18446744061803098170","True","18446744061803098170"
"main","640","16","2","fused","B","","10","96013100000","105627000000","19429300000","132018000000","30653142081.3593","7219042041","True","7219042041"
"main","640","4","16","fused","B","","10","95797060000","97010600000","71241600000","113112000000","10757039605.3189","18446744072471115389","True","18446744072471115389"
"main","384","1","8","repeat","A","","10","33287730000","33357050000","12522300000","49371400000","10029056139.2436","169863235","True","169863235"
