"target_kib","R","variant","G2","G4","G8","G16","max_G8_G16","F4","F8","F16","F_rises_4_8_16","F_flat_warning"
"384","1","A","1.33846263534515","2.16643289334589","2.85601071655293","2.77528008237596","2.85601071655293","2.05499890751319","2.64276380060645","2.52231191572189","False","False"
"384","1","B","1.36404108912707","2.21883119997517","2.82285321724705","3.07536486208171","3.07536486208171","2.07390603821549","2.57424156858911","2.6984221288141","True","False"
"384","2","A","1.24872715052478","2.31528963046041","2.85708431065314","2.95019664790122","2.95019664790122","2.10485554574436","2.64363108690926","2.42453091793351","False","False"
"384","2","B","1.24782349196244","2.01020478539976","2.78819831290785","2.99123295665553","2.99123295665553","2.17012624588523","2.73195829396697","2.7757545025225","True","False"
"384","4","A","1.32263575387015","2.49132542520172","3.45050694989226","2.85906689187887","3.45050694989226","2.09984975788771","2.6641194541164","2.52718437820741","False","False"
"384","4","B","1.46876915121063","3.06913191469655","3.88567547332917","3.19651747053511","3.88567547332917","2.57220536771222","3.30531587593182","2.62684719221709","False","False"
"384","8","A","1.60558170433504","3.18517576220159","2.83207819191791","2.98433900125797","2.98433900125797","2.95282771633733","2.44422662868784","2.5733939978232","False","False"
"384","8","B","1.4642699662799","2.86661653126779","3.1192875255612","3.16839072504634","3.16839072504634","2.56714678403153","2.63075549222411","3.05037080186074","True","False"
"384","16","A","1.34187441280393","2.8012875711233","2.76600377916753","3.06141222634589","3.06141222634589","2.48722817099803","2.43124389425951","2.55461776686604","False","False"
"384","16","B","1.38091210496058","2.93727565541301","3.03840259566392","3.13157401501012","3.13157401501012","2.74771955415092","2.58044869994195","2.65696844648517","False","False"
"512","1","A","1.79187730415326","3.44741582607354","3.68310617471143","3.61368386094739","3.68310617471143","2.75079966273639","2.38512329728315","2.57595449007579","False","False"
"512","1","B","1.41242998875841","2.55513425246256","3.00866782161825","2.89984750659786","3.00866782161825","2.34719063571348","2.273716838206","2.38580425189595","False","False"
"512","2","A","1.32810975228537","2.0975867327384","3.30144366551322","2.67684698667783","3.30144366551322","2.21448936399182","2.97205103075818","2.65673818179366","False","False"
"512","2","B","1.57748841278487","2.18818584681054","2.89991738841515","2.80409770178193","2.89991738841515","2.24484029606932","2.45644075057027","2.9298948903707","True","False"
"512","4","A","1.42184382862928","3.25034495426953","2.99531374818979","3.05702816734946","3.05702816734946","2.62441363134658","2.47663485380447","2.69734254874591","False","False"
"512","4","B","1.5835166945205","2.70757031611137","2.79400206236888","2.86758880631512","2.86758880631512","2.3152624582374","2.31188558691198","2.45025369914623","False","False"
"512","8","A","1.25408559189785","2.5400722209946","2.9943301989989","3.01553533709307","3.01553533709307","2.37661790634989","2.70633097309126","3.1701630019955","True","False"
"512","8","B","1.23904336791197","2.33887711947217","2.75410865560255","2.96952806810453","2.96952806810453","2.33598576923678","2.78942687329772","2.81647481881036","True","False"
"512","16","A","1.49282378955664","3.22886833175528","2.91094647761422","3.12905416928858","3.12905416928858","2.62778403964841","2.42712035197101","2.76757407653036","False","False"
"512","16","B","1.77004009650637","3.64964067691832","3.44209703869699","3.59415810215594","3.59415810215594","2.93348773589984","2.64361321906842","2.85970758579984","False","False"
"640","1","A","1.38950100057744","2.63986207256004","2.34879210620523","3.02836866786727","3.02836866786727","2.50304058096165","2.51524979106354","2.38022188180175","False","False"
"640","1","B","1.37075692629087","2.66683936672325","2.41039228377999","3.04767910570077","3.04767910570077","2.50415607486021","2.34067638636545","2.69403752012111","False","False"
"640","2","A","1.62479845424123","2.91130812917121","3.14524352009296","2.80748583861375","3.14524352009296","2.72651802754317","2.63274108059517","2.28485698763604","False","False"
"640","2","B","1.67577591782446","3.11138637855223","3.44810873258148","3.35703740900416","3.44810873258148","2.44317430290567","2.6942642970402","2.62795242532091","False","False"
"640","4","A","1.16735461233835","2.1425094582835","2.38890530548045","2.70004327775477","2.70004327775477","2.3178347356034","2.55253448888823","2.53625667023287","False","False"
"640","4","B","1.27944480528507","2.33169902017029","2.60720125555688","2.75588163192066","2.75588163192066","2.50812904804301","2.46453830818316","2.55090344253245","False","False"
"640","8","A","1.56120453499695","2.71436367722122","2.63974302040642","2.85312623727943","2.85312623727943","2.59276910162534","2.54314141900965","2.69553503278084","False","False"
"640","8","B","1.44881095384458","2.84306785165173","2.98249738878653","3.02433380214055","3.02433380214055","2.70321560572723","2.88526804791641","2.68211589957577","False","False"
"640","16","A","1.49905111747684","2.72808041530377","2.75144058826732","2.92253161060358","2.92253161060358","2.63220479281616","2.56095179233622","2.76680597255121","False","False"
"640","16","B","1.77234947789001","3.30722840223776","3.70987866866215","3.51330758295293","3.70987866866215","2.53076632100698","2.75230599191164","2.62586202283779","False","False"
"768","1","A","1.50263274511038","2.69837697589763","2.68081061505692","2.98792806373747","2.98792806373747","1.92773215015002","2.38221525334805","2.87273246826131","True","False"
"768","1","B","1.33897253619767","2.42180222993017","3.41174374400932","2.81563474196355","3.41174374400932","2.10662839856596","3.0070645900463","2.63173889629737","False","False"
"768","2","A","1.30767432607182","3.01012135680891","2.51579254948772","2.4572192380384","2.51579254948772","2.23669087347784","2.62422487934641","2.70854354693914","True","False"
"768","2","B","1.57663219001676","3.86515496322945","2.70072238953315","2.92000417898787","2.92000417898787","2.51254189243057","2.25929495989168","2.40803432293123","False","False"
"768","4","A","1.26109625483736","2.53669234450422","2.70029278512636","2.7702421788941","2.7702421788941","2.52218611609964","2.58283134339476","3.15073835608806","True","False"
"768","4","B","1.26123777674838","2.50585383497579","2.71661093096599","2.77790962567184","2.77790962567184","2.51104198433965","2.59895388142047","2.48035346204011","False","False"
"768","8","A","1.82560604022065","3.22115343521721","3.29530759063892","3.4061557699461","3.4061557699461","2.54597044689963","2.57034667443666","2.63880168734978","True","False"
"768","8","B","1.85232510986237","3.52597386475549","3.474150273518","3.45344400950072","3.474150273518","2.88150403562332","2.82565675222328","2.84191672228503","False","False"
"768","16","A","1.31444003798246","2.12394459029213","2.36902195162822","2.37910964642797","2.37910964642797","2.35132564748833","2.83988097470043","2.56859422396169","False","False"
"768","16","B","1.76787604997529","3.31852863966226","3.40331487998602","3.35430426847099","3.40331487998602","2.6360581634097","2.64063009375774","2.64403182602199","True","False"
