probe,kernel_requested,kernel_used,avx2_supported,target_kib,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,rows_per_worker,all_affinity_succeeded,affinity_error,kernel_elapsed_seconds,wall_elapsed_seconds,mac_count,mac_per_second,checksum,batch_repeat,variant_order
int8_batch,avx2,avx2,true,640,1280,512,4,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0099404,0.239762,83886080,8.4389e+09,-393744160,1,3
int8_batch,avx2,avx2,true,640,1280,512,8,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.002562,0.002821,167772160,6.54848e+10,-787488320,1,1
int8_batch,avx2,avx2,true,640,1280,512,8,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0045814,0.0055442,167772160,3.66203e+10,95115408,1,2
int8_batch,avx2,avx2,true,640,1280,512,8,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0081863,0.474204,167772160,2.04943e+10,-787488320,1,3
int8_batch,avx2,avx2,true,640,1280,512,16,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0049146,0.0050101,335544320,6.8275e+10,-1574976640,1,1
int8_batch,avx2,avx2,true,640,1280,512,16,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0106094,0.0121617,335544320,3.16271e+10,257141416,1,2
int8_batch,avx2,avx2,true,640,1280,512,16,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0306241,0.96965,335544320,1.09569e+10,-1574976640,1,3
int8_batch,avx2,avx2,true,768,1536,512,1,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0003923,0.0004373,25165824,6.41494e+10,-104510296,1,1
int8_batch,avx2,avx2,true,768,1536,512,1,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0003738,0.0004452,25165824,6.73243e+10,-104510296,1,2
int8_batch,avx2,avx2,true,768,1536,512,1,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0039827,0.0602664,25165824,6.31878e+09,-104510296,1,3
int8_batch,avx2,avx2,true,768,1536,512,4,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0057221,0.0069449,100663296,1.7592e+10,-418041184,1,1
int8_batch,avx2,avx2,true,768,1536,512,4,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.002748,0.0028919,100663296,3.66315e+10,287382656,1,2
int8_batch,avx2,avx2,true,768,1536,512,4,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0094651,0.239701,100663296,1.06352e+10,-418041184,1,3
int8_batch,avx2,avx2,true,768,1536,512,8,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0024276,0.0050813,201326592,8.29324e+10,-836082368,1,1
int8_batch,avx2,avx2,true,768,1536,512,8,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0046267,0.0046728,201326592,4.35141e+10,170746584,1,2
int8_batch,avx2,avx2,true,768,1536,512,8,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0169769,0.518401,201326592,1.18589e+10,-836082368,1,3
int8_batch,avx2,avx2,true,768,1536,512,16,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0060612,0.0088919,402653184,6.64313e+10,-1672164736,1,1
int8_batch,avx2,avx2,true,768,1536,512,16,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0129615,0.013901,402653184,3.10653e+10,413074048,1,2
int8_batch,avx2,avx2,true,768,1536,512,16,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0510987,1.06009,402653184,7.87991e+09,-1672164736,1,3
int8_batch,avx2,avx2,true,384,768,512,1,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0031299,0.0741072,12582912,4.02023e+09,-26122688,2,1
int8_batch,avx2,avx2,true,384,768,512,1,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0003574,0.0005845,12582912,3.52068e+10,-26122688,2,2
int8_batch,avx2,avx2,true,384,768,512,1,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0004214,0.0014942,12582912,2.98598e+10,-26122688,2,3
int8_batch,avx2,avx2,true,384,768,512,4,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0129447,0.261914,50331648,3.88821e+09,-104490752,2,1
int8_batch,avx2,avx2,true,384,768,512,4,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0013623,0.0020573,50331648,3.69461e+10,114620144,2,2
int8_batch,avx2,avx2,true,384,768,512,4,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.002414,0.0027717,50331648,2.08499e+10,-104490752,2,3
int8_batch,avx2,avx2,true,384,768,512,8,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0190982,0.477393,100663296,5.27083e+09,-208981504,2,1
int8_batch,avx2,avx2,true,384,768,512,8,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0018199,0.0019196,100663296,5.53125e+10,-63733224,2,2
int8_batch,avx2,avx2,true,384,768,512,8,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0015754,0.0016242,100663296,6.3897e+10,-208981504,2,3
int8_batch,avx2,avx2,true,384,768,512,16,C,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0431703,0.975762,201326592,4.66354e+09,-417963008,2,1
int8_batch,avx2,avx2,true,384,768,512,16,B,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0060281,0.0062696,201326592,3.3398e+10,231055736,2,2
int8_batch,avx2,avx2,true,384,768,512,16,A,1,8,2,4,"0,2,4,6","1437,549,555,531",true,0,0.0028189,0.002902,201326592,7.14203e+10,-417963008,2,3
int8_batch,avx2,avx2,true,512,1024,512,1,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0005372,0.0569475,16777216,3.12309e+10,-73765152,2,1
int8_batch,avx2,avx2,true,512,1024,512,1,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0002339,0.0002387,16777216,7.17282e+10,-73765152,2,2
int8_batch,avx2,avx2,true,512,1024,512,1,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0002512,0.0002938,16777216,6.67883e+10,-73765152,2,3
int8_batch,avx2,avx2,true,512,1024,512,4,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0104321,0.237996,67108864,6.43292e+09,-295060608,2,1
int8_batch,avx2,avx2,true,512,1024,512,4,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0010085,0.0010424,67108864,6.65432e+10,224970440,2,2
int8_batch,avx2,avx2,true,512,1024,512,4,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0009031,0.0009304,67108864,7.43094e+10,-295060608,2,3
int8_batch,avx2,avx2,true,512,1024,512,8,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0128045,0.46823,134217728,1.04821e+10,-590121216,2,1
int8_batch,avx2,avx2,true,512,1024,512,8,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0036041,0.006056,134217728,3.72403e+10,47237944,2,2
int8_batch,avx2,avx2,true,512,1024,512,8,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0022957,0.0023253,134217728,5.84648e+10,-590121216,2,3
int8_batch,avx2,avx2,true,512,1024,512,16,C,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0363026,0.945725,268435456,7.39439e+09,-1180242432,2,1
int8_batch,avx2,avx2,true,512,1024,512,16,B,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0124709,0.0157706,268435456,2.15249e+10,70947488,2,2
int8_batch,avx2,avx2,true,512,1024,512,16,A,1,8,2,4,"0,2,4,6","1917,731,740,708",true,0,0.0062655,0.0088357,268435456,4.28434e+10,-1180242432,2,3
int8_batch,avx2,avx2,true,640,1280,512,1,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0049849,0.0603476,20971520,4.20701e+09,-98436040,2,1
int8_batch,avx2,avx2,true,640,1280,512,1,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.000309,0.0003158,20971520,6.7869e+10,-98436040,2,2
int8_batch,avx2,avx2,true,640,1280,512,1,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0003016,0.0004353,20971520,6.95342e+10,-98436040,2,3
int8_batch,avx2,avx2,true,640,1280,512,4,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0099449,0.240371,83886080,8.43509e+09,-393744160,2,1
int8_batch,avx2,avx2,true,640,1280,512,4,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.004613,0.0052029,83886080,1.81847e+10,272599344,2,2
int8_batch,avx2,avx2,true,640,1280,512,4,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0013998,0.0014393,83886080,5.99272e+10,-393744160,2,3
int8_batch,avx2,avx2,true,640,1280,512,8,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0244816,0.486852,167772160,6.85299e+09,-787488320,2,1
int8_batch,avx2,avx2,true,640,1280,512,8,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0044519,0.004526,167772160,3.76855e+10,95115408,2,2
int8_batch,avx2,avx2,true,640,1280,512,8,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.00288,0.0044326,167772160,5.82542e+10,-787488320,2,3
int8_batch,avx2,avx2,true,640,1280,512,16,C,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0503535,0.971454,335544320,6.66377e+09,-1574976640,2,1
int8_batch,avx2,avx2,true,640,1280,512,16,B,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0107165,0.0116228,335544320,3.1311e+10,257141416,2,2
int8_batch,avx2,avx2,true,640,1280,512,16,A,1,8,2,4,"0,2,4,6","2396,914,925,885",true,0,0.0045982,0.0048774,335544320,7.2973e+10,-1574976640,2,3
int8_batch,avx2,avx2,true,768,1536,512,1,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0024799,0.0592186,25165824,1.01479e+10,-104510296,2,1
int8_batch,avx2,avx2,true,768,1536,512,1,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0004655,0.000573,25165824,5.40619e+10,-104510296,2,2
int8_batch,avx2,avx2,true,768,1536,512,1,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0017785,0.0019953,25165824,1.415e+10,-104510296,2,3
int8_batch,avx2,avx2,true,768,1536,512,4,C,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0168204,0.269121,100663296,5.9846e+09,-418041184,2,1
int8_batch,avx2,avx2,true,768,1536,512,4,B,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0029487,0.007936,100663296,3.41382e+10,287382656,2,2
int8_batch,avx2,avx2,true,768,1536,512,4,A,1,8,2,4,"0,2,4,6","2875,1097,1110,1062",true,0,0.0018113,0.0019682,100663296,5.55752e+10,-418041184,2,3
