probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,A,1,2,1,0,0,0,true,0,0,0.00049870000000000003,4194304,8410475235.6125917,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,B,1,2,1,0,0,0,true,0,0,0.00049510000000000005,4194304,8471629973.7426777,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,C,1,2,1,0,0,0,true,0,67108864,0.00050560000000000004,4194304,8295696202.5316448,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,A,1,2,1,0,0,0,true,0,0,0.0010979,8388608,7640593861.0073776,3643.71337890625
scalar_q4,avx2,avx2,true,true,1280,1310720,2621440,4096,512,2,B,1,2,1,0,0,0,true,0,0,0.00099869999999999994,8388608,8399527385.6012821,3653.72900390625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,C,1,2,1,0,0,0,true,0,67108864,0.0041219999999999998,8388608,2035081999.0295973,3643.713623046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,2,1,0,0,0,true,0,0,0.0019823000000000002,16777216,8463510064.0669918,7287.4404296875
scalar_q4,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,2,1,0,0,0,true,0,0,0.0019900999999999999,16777216,8430338173.9611082,6311.69873046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,C,1,2,1,0,0,0,true,0,67108864,0.011702300000000001,16777216,1433668253.2493613,7287.4404296875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,2,1,0,0,0,true,0,0,0.0039947999999999997,33554432,8399527385.6012821,14574.83984375
scalar_q4,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,2,1,0,0,0,true,0,0,0.0040692000000000002,33554432,8245953012.877224,13369.3076171875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,C,1,2,1,0,0,0,true,0,67108864,0.029314799999999998,33554432,1144624285.3439219,14574.83984375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,2,1,0,0,0,true,0,0,0.0087738,67108864,7648779776.1517248,29149.37890625
scalar_q4,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,2,1,0,0,0,true,0,0,0.0079991999999999997,67108864,8389446944.6944695,25772.818359375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,C,1,2,1,0,0,0,true,0,67108864,0.057065900000000003,67108864,1175988883.0282183,29149.37890625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,A,1,2,1,1,0,1,true,0,0,0.00021770000000000001,1677312,7704694533.7620573,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,B,1,2,1,1,0,1,true,0,0,0.0001986,1677312,8445679758.308157,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,C,1,2,1,1,0,1,true,0,67108864,0.0002009,1677312,8348989547.0383272,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,A,1,2,1,1,0,1,true,0,0,0.00039809999999999997,3354624,8426586284.8530521,1984.3802490234375
scalar_q4,avx2,avx2,true,true,512,524160,1048320,1638,512,2,B,1,2,1,1,0,1,true,0,0,0.0003968,3354624,8454193548.3870964,1352.0919189453125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,C,1,2,1,1,0,1,true,0,67108864,0.0040242999999999998,3354624,833591929.03113592,1984.3804931640625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,2,1,1,0,1,true,0,0,0.00079359999999999999,6709248,8454193548.3870964,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,2,1,1,0,1,true,0,0,0.00079529999999999998,6709248,8436122218.0309324,2610.9716796875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,C,1,2,1,1,0,1,true,0,67108864,0.010224499999999999,6709248,656193261.28417039,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,2,1,1,0,1,true,0,0,0.0015843000000000001,13418496,8469668623.366786,7937.49169921875
scalar_q4,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,2,1,1,0,1,true,0,0,0.0017455000000000001,13418496,7687479805.2134056,4906.61328125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,C,1,2,1,1,0,1,true,0,67108864,0.031161500000000002,13418496,430611363.38109523,7937.4921875
