probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes_per_worker,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,all_affinity_succeeded,affinity_error,batch_elapsed_seconds,batch_mac_count,batch_mac_per_second,checksum_sum,batch_repeat,variant_order
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0087252000000000007,214433792,24576375555.861183,85983.1796875,2,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.011247,214433792,19065865741.975639,82257.0625,2,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0032697999999999998,80478208,24612578139.335739,43356.640625,2,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0046011000000000003,80478208,17491079959.140205,47808.625,2,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0068485999999999998,160956416,23502090354.232983,67701.25,2,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.0085684999999999997,160956416,18784666627.764488,95617.375,2,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.013099400000000001,321912832,24574624181.260208,130342.0546875,2,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.013312299999999999,321912832,24181608888.020855,191235.140625,2,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,8,2,8,0..7,true,0,0.0088541000000000002,214695936,24248194169.932571,83551.09375,2,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0090255999999999999,214695936,23787441942.917923,127000.0625,2,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,8,2,8,0..7,true,0,0.018912600000000002,429391872,22704010659.560291,157011.625,2,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,8,2,8,0..7,true,0,0.017407499999999999,429391872,24667061439.034901,253999.734375,2,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,8,2,8,0..7,true,0,0.035418499999999999,858783744,24246756469.076897,317251.34375,2,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,8,2,8,0..7,true,0,0.035067800000000003,858783744,24489239245.119453,507998.96875,2,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,8,2,8,0..7,true,0,0.017284000000000001,429391872,24843315899.097431,152833.921875,2,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,8,2,8,0..7,true,0,0.018367000000000001,429391872,23378443512.821907,162773.328125,2,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,8,2,8,0..7,true,0,0.036177800000000003,858783744,23737865320.721546,342326.78125,2,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,8,2,8,0..7,true,0,0.0369214,858783744,23259782781.801342,325546.96875,2,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,8,2,8,0..7,true,0,0.071665099999999995,1717567488,23966581892.720448,671573.9375,2,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,8,2,8,0..7,true,0,0.072401400000000005,1717567488,23722849116.177311,651091.25,2,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,8,2,8,0..7,true,0,0.022083999999999999,536870912,24310401738.815434,201974.359375,2,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,8,2,8,0..7,true,0,0.022068399999999998,536870912,24327586594.406483,233198.109375,2,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,8,2,8,0..7,true,0,0.044981199999999999,1073741824,23870902154.677956,427817.78125,2,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,8,2,8,0..7,true,0,0.047016599999999999,1073741824,22837504711.102036,466394.96875,2,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,8,2,8,0..7,true,0,0.090114399999999997,2147483648,23830638033.43306,824730.0625,2,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,8,2,8,0..7,true,0,0.090743000000000004,2147483648,23665557100.823204,932780.0625,2,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,4,A,1,8,2,8,0..7,true,0,0.0040917999999999996,53608448,13101434087.687572,20564.263671875,3,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,523520,409,512,4,B,1,8,2,8,0..7,true,0,0.0040628000000000001,53608448,13194951265.137342,25891.703125,3,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,8,A,1,8,2,8,0..7,true,0,0.0047711000000000003,107216896,22472154429.796062,41128.58203125,3,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,1047040,409,512,8,B,1,8,2,8,0..7,true,0,0.0048094000000000001,107216896,22293195824.843014,38255.015625,3,2
