"target_kib","repeat","A_mac_per_second","B_mac_per_second","B_over_A","A_over_B","A_checksum","B_checksum","checksum_equal"
"512","1","7938870000","9810660000","1.23577536853482","0.809208554776131","81541731","81541731","true"
"512","2","10521300000","6266940000","0.595643123948561","1.67885762429511","81541731","81541731","true"
"512","3","2193820000","1695200000","0.772716084273094","1.29413638508731","81541731","81541731","true"
"512","4","11031100000","10543800000","0.955824895069395","1.04621673400482","81541731","81541731","true"
"512","5","8629370000","10464200000","1.21262618244437","0.824656447697865","81541731","81541731","true"
"512","6","2209970000","8650280000","3.91420698018525","0.25547959141207","81541731","81541731","true"
"512","7","11705300000","8517650000","0.727674643110386","1.37424054756887","81541731","81541731","true"
"512","8","7998670000","9051640000","1.13164313567131","0.883670804406715","81541731","81541731","true"
"512","9","8250820000","8498670000","1.03003943850429","0.97083661325831","81541731","81541731","true"
"512","10","9611150000","7536930000","0.784186075547671","1.27520754471648","81541731","81541731","true"
"768","1","11592900000","11901500000","1.02661974139344","0.974070495315717","18446744073656903484","18446744073656903484","true"
"768","2","11909400000","9696690000","0.814204745831024","1.22819230067167","18446744073656903484","18446744073656903484","true"
"768","3","9537210000","11968900000","1.25496869629588","0.796832624551964","18446744073656903484","18446744073656903484","true"
"768","4","10317200000","10844100000","1.05107005776761","0.951411366549552","18446744073656903484","18446744073656903484","true"
"768","5","7650580000","9362630000","1.22378041926233","0.817140055732203","18446744073656903484","18446744073656903484","true"
"768","6","9080870000","8969530000","0.987739060244228","1.01241313647426","18446744073656903484","18446744073656903484","true"
"768","7","11951900000","11309500000","0.946251223654816","1.05680180379327","18446744073656903484","18446744073656903484","true"
"768","8","10227100000","5773430000","0.564522689716537","1.77140798450834","18446744073656903484","18446744073656903484","true"
"768","9","9736080000","11714800000","1.20323579921282","0.831092293509065","18446744073656903484","18446744073656903484","true"
"768","10","11557700000","9802830000","0.848164427178418","1.17901667171623","18446744073656903484","18446744073656903484","true"
