"target_kib","variant","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second"
"512","A","10","8009037000","8440095000","2193820000","11705300000","3155434774.27771"
"512","B","10","8103597000","8583965000","1695200000","10543800000","2464310131.03891"
"768","A","10","10356094000","10272150000","7650580000","11951900000","1339852424.53936"
"768","B","10","10134391000","10323465000","5773430000","11968900000","1792829328.71174"
