"run","order_index","variant","D","S","R","rows_per_worker","component","mode","kernel","elapsed_seconds","elapsed_per_timed_step","mac_total","mac_per_second","checksum_kind","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","affinity_succeeded","timed_repetitions_exact"
"6","1","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0953575","0.00074498046875","277348352","2908511150.14551","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"6","2","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0980516","0.000766028125","277348352","2828595882.16816","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"7","1","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0992523","0.00077540859375","277348352","2794377077.40778","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"7","2","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0913531","0.00071369609375","277348352","3036003726.20086","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"8","1","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0538065","0.00042036328125","277348352","5154551067.25024","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"8","2","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.0568731","0.00044432109375","277348352","4876617451.83575","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"9","1","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.1189027","0.00092892734375","277348352","2332565635.59953","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"9","2","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.1321191","0.00103218046875","277348352","2099229800.99017","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"10","1","Bclone","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.1830834","0.0014303390625","277348352","1514874379.6543","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
"10","2","A","1472","1","16","457,297,347,371","gemv-only","fused","avx2_fused","0.1036315","0.00080962109375","277348352","2676293906.77545","output","5378321552073814842","5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842;5378321552073814842","true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true","false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false","true","true","true"
