"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"G(S)","fused","512","4","16","128,128,128,128","10","2828581954.84706","1376287181.50646","4476520648.64288","762052584.664326","13839699232716738356","True","13839699232716738356","0.04747035","134217728","2828581954.84706","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","4","16","128,128,128,128","10","2607979634.83461","1279624133.8413","4376560386.59945","924149514.373472","13839699232716738356","True","13839699232716738356","0.0514677","134217728","2607979634.83461","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","1","128,128,128,128","10","5556140641.10015","4748313474.65542","7677305633.09385","963394750.680871","3842179408685066247","True","3842179408685066247","0.0030196","16777216","5556140641.10015","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","1","128,128,128,128","10","5536598335.6708","2836768455.58148","6579300392.15686","1025656626.94995","3842179408685066247","True","3842179408685066247","0.0030303","16777216","5536598335.6708","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","2","128,128,128,128","10","4546150339.87022","3395613305.40292","5274278438.83117","513455835.022182","10841506427571730443","True","10841506427571730443","0.007381","33554432","4546150339.87022","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","2","128,128,128,128","10","4749241388.96852","2653908916.90526","5466315652.28724","778470729.386968","10841506427571730443","True","10841506427571730443","0.00707375","33554432","4749241388.96852","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","4","128,128,128,128","10","4175923041.03204","1555069389.57106","4703254979.4654","1184910750.72881","12407374104176774528","True","12407374104176774528","0.0160799","67108864","4175923041.03204","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","4","128,128,128,128","10","4490126012.84919","2945127971.07046","4874617854.28924","681725807.569636","12407374104176774528","True","12407374104176774528","0.01496045","67108864","4490126012.84919","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","8","128,128,128,128","10","4586865040.6049","4238744587.78758","5099825899.28604","257174558.275514","15867929085574564979","True","15867929085574564979","0.02926155","134217728","4586865040.6049","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","8","128,128,128,128","10","4300339596.46595","2623274242.53677","4840337841.24923","790923607.137011","15867929085574564979","True","15867929085574564979","0.0312118","134217728","4300339596.46595","True","8","2","4","0,2,4,6"
