"target_kib","variant","n","numerator_mode","denominator_mode","throughput_ratio_mean","throughput_ratio_median","throughput_ratio_min","throughput_ratio_max","throughput_ratio_population_sd","elapsed_ratio_mean","elapsed_ratio_median","elapsed_ratio_min","elapsed_ratio_max","elapsed_ratio_population_sd"
"512","A","10","legacy","repeat","1.9543319341744909","1.9033096549437638","1.6336551254989446","2.4819472240261891","0.25898812283469064","0.51996635372185407","0.52540479835541765","0.40290914201391326","0.61212482311759886","0.063103424911984854"
"512","A","10","legacy","fused","2.1279765124243597","2.1071569616045549","1.8047996887012006","2.5564195323058443","0.23567617898770316","0.47571394660903127","0.474784913756113","0.39117205621503615","0.55407867618507123","0.05251033345238957"
"512","A","10","repeat","legacy","0.519966327716902","0.52540449234762088","0.40290945364172986","0.61212429991586126","0.063103113907936936","1.9543322042500244","1.9033085495033331","1.633653729164132","2.4819491436743522","0.25898989935561428"
"512","A","10","repeat","fused","1.0980915468599357","1.0649810855226112","0.96828643480560039","1.428985996191696","0.12947092520179276","0.92171078009969087","0.93898410041663383","0.69979673737426384","1.0327518743092685","0.094372543203084983"
"512","A","10","fused","legacy","0.47571409536931419","0.47478488741870462","0.39117210119968771","0.55407810975390648","0.052510219150149771","2.1279772994383919","2.1071567792587746","1.8047978436657681","2.5564198262932085","0.23567677301445211"
"512","A","10","fused","repeat","0.92171106186503837","0.93898505009348443","0.6997969207991116","1.0327522560003297","0.094372568461203107","1.098091881657359","1.064982160670314","0.968286792671111","1.4289863707455126","0.12947095229710379"
"512","B","10","legacy","repeat","1.145927652914976","1.185466373956146","0.886629646722544","1.3983020487828981","0.14989390493010862","0.8891675084507773","0.84355384299722436","0.71515422009384688","1.1278682781572953","0.12748770176392743"
"512","B","10","legacy","fused","1.0943633667350481","1.0653701728154483","0.94282807278954306","1.3071600536079224","0.12461607552803938","0.92524985016645866","0.93881682288253032","0.76501664762325994","1.0606381410557066","0.1012093607183074"
"512","B","10","repeat","legacy","0.88916726315843508","0.84355399281777266","0.71515306787286348","1.1278666393533459","0.12748748312458064","1.1459273667507126","1.185466586791498","0.88662835844075183","1.3982997959080405","0.14989383956533536"
"512","B","10","repeat","fused","0.96526929715924281","0.90999058361283292","0.79034531528475249","1.1695594854104854","0.12300983394230136","1.0523385553535085","1.0989240231998452","0.85502133565064","1.265269526438072","0.12905535705666218"
"512","B","10","fused","legacy","0.925249891219219","0.938816988078236","0.76501725801662712","1.0606387621035747","0.10120936978955331","1.0943634187097904","1.0653703433777062","0.94282862485470265","1.3071610965680056","0.12461611931466875"
"512","B","10","fused","repeat","1.0523388134534659","1.0989246574167013","0.85502277778459956","1.2652697253474721","0.12905492851990832","0.96526964779322522","0.90999110437935971","0.79034543953267689","1.169561458064712","0.12301036357030662"
"768","A","10","legacy","repeat","2.1506584624889724","2.0396684569277088","1.7589127558202948","2.842300953032181","0.33431369796192856","0.47533232987692975","0.49039677757929551","0.35182747709660828","0.56853322680703078","0.0672328685962825"
"768","A","10","legacy","fused","1.9457110703332448","1.85270809581729","1.6115321361898836","2.7125490110774551","0.30957084067686319","0.52510264602294243","0.5399885781735736","0.36865660735815281","0.62052781204741736","0.07101575666691276"
"768","A","10","repeat","legacy","0.47533252644576685","0.4903972176470045","0.35182762716706512","0.56853303081177287","0.0672327963366113","2.1506594360784854","2.0396703111342416","1.7589121494554547","2.842302165403102","0.33431397272276009"
"768","A","10","repeat","fused","0.91267258575453059","0.94021266522380964","0.66624872303744309","1.1214382850474589","0.11650386937981087","1.1157276786820318","1.0638301359058056","0.891713065571112","1.50094038115029","0.15953702662044997"
"768","A","10","fused","legacy","0.52510273074825065","0.5399888841197924","0.36865693335538613","0.62052749525943807","0.071015700116325658","1.9457114682753862","1.8527092005549592","1.611531313480572","2.7125514097418364","0.30957126741196223"
"768","A","10","fused","repeat","1.1157273985910605","1.0638296725340524","0.89171202136877314","1.5009409630700337","0.15953703576974138","0.91267234782043327","0.94021228058000883","0.66624898134436261","1.121436971835255","0.11650378602857712"
"768","B","10","legacy","repeat","1.1286840529918334","1.1577928826268076","0.96674675332157955","1.2357579979917117","0.085663959254152156","0.89132499299104961","0.86402759662249951","0.80921936811413731","1.0343974413131374","0.070486009646732892"
"768","B","10","legacy","fused","1.0888948303128834","1.119320744791374","0.88164632011961","1.2063366452709634","0.10607934821644922","0.927876576192064","0.89345533055699144","0.82895646632953257","1.1342406575202042","0.09799498408225582"
"768","B","10","repeat","legacy","0.89132431486652952","0.8640266823863435","0.80921992948874044","1.0343970606202377","0.07048584149789601","1.1286832230772401","1.1577916818596217","0.96674639752639868","1.2357588552662444","0.085664116451544856"
"768","B","10","repeat","fused","0.96433314015574878","0.97570613239337467","0.84685141819819776","1.0488721804511278","0.054230057084409547","1.0404053055713516","1.0249253573364117","0.95340303609128374","1.1808455138707108","0.060978666871638984"
"768","B","10","fused","legacy","0.92787648413764645","0.89345576357492806","0.82895599990281588","1.1342416762589485","0.097994855638745354","1.0888947560612969","1.1193212602131526","0.88164711198618528","1.2063359665047513","0.10607952055845951"
"768","B","10","fused","repeat","1.040405973318695","1.0249261569872834","0.953405017921147","1.1808446895296565","0.060978278313439584","0.96433380234250665","0.97570690422637529","0.84685082701638537","1.0488743607317974","0.0542304586537554"
