"D","S","R","round","reference_checksum","fused_checksum","repeat_checksum","reference_finite","fused_finite","repeat_finite","reference_overflow","fused_overflow","repeat_overflow","reference_clipped_cells","fused_clipped_cells","repeat_clipped_cells","total_cells","expected_equal_cells","fused_cells_equal_to_reference","repeat_cells_equal_to_reference","reference_clipping_rate","fused_clipping_rate","repeat_clipping_rate"
"53","1","16","2","12849141857670020091","12849141857670020091","12849141857670020091","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","3","12268325030619831387","12268325030619831387","12268325030619831387","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","4","3866882481887258962","3866882481887258962","3866882481887258962","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","5","13830093767865610007","13830093767865610007","13830093767865610007","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","6","16394722164519212012","16394722164519212012","16394722164519212012","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","7","14338801022908736680","14338801022908736680","14338801022908736680","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","8","11224722858268020615","11224722858268020615","11224722858268020615","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","9","17542223520708190767","17542223520708190767","17542223520708190767","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","10","3627050116735635815","3627050116735635815","3627050116735635815","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","11","7209103175624285953","7209103175624285953","7209103175624285953","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","12","17920424013023980868","17920424013023980868","17920424013023980868","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","13","7722586806119734988","7722586806119734988","7722586806119734988","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","14","15389061675908950708","15389061675908950708","15389061675908950708","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","15","5277876877959407889","5277876877959407889","5277876877959407889","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","1","16","16","9524675780092438829","9524675780092438829","9524675780092438829","true","true","true","false","false","false","0","0","0","53","53","53","53","0.000000000","0.000000000","0.000000000"
"53","4","16","1","9727149121423736159","9727149121423736159","9727149121423736159","true","true","true","false","false","false","1","1","1","212","212","212","212","0.004716981","0.004716981","0.004716981"
"53","4","16","2","588745768404928997","588745768404928997","588745768404928997","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
