"record_type","phase","source","G8","G16","F4","F8","F16"
"maximum","pre-vectorization","recurrence","1.29919075577135","1.03606117250204","1.08458743966628","1.08056445350753","1.42139449972605"
"maximum","pre-vectorization","static_A","3.68310617471143","3.61368386094739","2.75079966273639","2.97205103075818","3.1701630019955"
"maximum","pre-vectorization","static_B","3.44209703869699","3.59415810215594","2.93348773589984","2.78942687329772","2.9298948903707"
"maximum","post-vectorization","recurrence","1.00353058944881","1.40660346884132","1.32810657064979","1.07825632787373","1.4649417677929"
"maximum","post-vectorization","static_A","3.68310617471143","3.61368386094739","2.75079966273639","2.97205103075818","3.1701630019955"
"maximum","post-vectorization","static_B","3.44209703869699","3.59415810215594","2.93348773589984","2.78942687329772","2.9298948903707"
"post_minus_pre","post-vectorization minus pre-vectorization","recurrence","-0.295660166322547","0.370542296339274","0.243519130983517","-0.00230812563379423","0.0435472680668496"
"post_over_pre","post-vectorization divided by pre-vectorization","recurrence","0.77242743992047","1.35764519139775","1.22452696949768","0.997863963018308","1.03063700336201"
