"invocation","target_kib","repeat","variant","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0072072","402653184","5.58682e+10","18446744073656903484"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0185773","402653184","2.16745e+10","18446744073656903484"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0193082","402653184","2.0854e+10","18446744073656903484"
"22","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0115785","402653184","3.47759e+10","18446744072675525801"
"22","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0132629","402653184","3.03594e+10","18446744072675525801"
"22","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0336635","402653184","1.19611e+10","18446744072675525801"
"23","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0116114","402653184","3.46774e+10","18446744072675525801"
"23","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0201998","402653184","1.99335e+10","18446744072675525801"
"23","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.018648","402653184","2.15923e+10","18446744072675525801"
"24","768","2","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0067316","402653184","5.98154e+10","18446744073656903484"
"24","768","2","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0157767","402653184","2.5522e+10","18446744073656903484"
