"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"7","2","512","1","1","gemv-only","fused","0.0006603","8.25375E-05","825.375","164780.125","true","2097152","3176059366.95441","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","1","1","full","fused","0.0025009","0.0003126125","3126.125","624047.5","true","2097152","838558918.789236","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","1","1","full","fused","0.0003802","4.7525E-05","475.25","94845","true","2097152","5515917937.92741","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","1","1","gemv-only","fused","0.0001141","1.42625E-05","142.625","28442.375","true","2097152","18379947414.5486","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","3","512","1","1","transition-only","fused","0.000692","8.65E-05","865","172707.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","1","1","transition-only","fused","4.24E-05","5.3E-06","53","10620.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","1","1","gemv-only","fused","0.0001713","2.14125E-05","214.125","42702.5","true","2097152","12242568593.1115","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","1","1","full","fused","0.0210964","0.00263705","26370.5","5264180.25","true","2097152","99408050.6626723","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","1","1","full","fused","0.0001564","1.955E-05","195.5","39052.375","true","2097152","13408900255.7545","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","1","1","gemv-only","fused","0.0002072","2.59E-05","259","51732.875","true","2097152","10121389961.39","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","1","1","transition-only","fused","4.01E-05","5.0125E-06","50.125","10000.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","4","1","transition-only","fused","0.0005571","6.96375E-05","696.375","139037.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","4","1","gemv-only","fused","0.0011305","0.0001413125","1413.125","282105","true","8388608","7420263600.17691","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","4","1","full","fused","0.0007152","8.94E-05","894","178480.25","true","8388608","11729038031.3199","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","4","1","full","fused","0.0007137","8.92125E-05","892.125","178054.875","true","8388608","11753689225.1646","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","4","1","gemv-only","fused","0.0005076","6.345E-05","634.5","126680","true","8388608","16526020488.5737","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","4","1","transition-only","fused","0.0006262","7.8275E-05","782.75","156257.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","4","1","transition-only","fused","0.0001447","1.80875E-05","180.875","36090.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","4","1","gemv-only","fused","0.0003352","4.19E-05","419","83635","true","8388608","25025680190.9308","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","4","1","full","fused","0.0004387","5.48375E-05","548.375","109452.625","true","8388608","19121513562.7992","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","4","1","full","fused","0.0007178","8.9725E-05","897.25","179160.125","true","8388608","11686553357.4812","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","4","1","gemv-only","fused","0.0005048","6.31E-05","631","125987.5","true","8388608","16617686212.3613","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","3","512","4","1","transition-only","fused","0.0001816","2.27E-05","227","45317.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","512","4","1","transition-only","fused","0.0001779","2.22375E-05","222.375","44395","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","512","4","1","gemv-only","fused","0.0003544","4.43E-05","443","88415","true","8388608","23669887133.1828","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","3","512","4","1","full","fused","0.0011766","0.000147075","1470.75","293602.5","true","8388608","7129532551.41934","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","512","4","1","full","fused","0.0010198","0.000127475","1274.75","254450","true","8388608","8225738380.07452","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","512","4","1","gemv-only","fused","0.000542","6.775E-05","677.5","135222.5","true","8388608","15477136531.3653","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","3","512","4","1","transition-only","fused","0.0002738","3.4225E-05","342.25","68272.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","512","4","1","transition-only","fused","0.0001743","2.17875E-05","217.875","43492.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","512","4","1","gemv-only","fused","0.0005024","6.28E-05","628","125342.5","true","8388608","16697070063.6943","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","4","1","full","fused","0.0006367","7.95875E-05","795.875","158857.5","true","8388608","13175134286.163","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","4","1","full","fused","0.001136","0.000142","1420","283460","true","8388608","7384338028.16901","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","4","1","gemv-only","fused","0.0010366","0.000129575","1295.75","258705","true","8388608","8092425236.3496","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
