"invocation","target_kib","sample","variant","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"15","512","5","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0067176","268435456","39960000000","18446744073530809057"
"15","512","5","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0092991","268435456","28866800000","18446744073530809057"
"15","512","5","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0090727","268435456","29587200000","18446744073530809057"
"16","512","6","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0090085","268435456","29798000000","18446744073530809057"
"16","512","6","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0104232","268435456","25753700000","18446744073530809057"
"16","512","6","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0095525","268435456","28101100000","18446744073530809057"
"17","512","7","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0365634","268435456","7341640000","18446744073530809057"
"17","512","7","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0093401","268435456","28740100000","18446744073530809057"
"17","512","7","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0360496","268435456","7446280000","18446744073530809057"
"18","512","8","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0141192","268435456","19012100000","18446744073530809057"
"18","512","8","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0096779","268435456","27737000000","18446744073530809057"
"18","512","8","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0352585","268435456","7613350000","18446744073530809057"
"19","512","9","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0080134","268435456","33498300000","18446744073530809057"
"19","512","9","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0112236","268435456","23917100000","18446744073530809057"
"19","512","9","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0081955","268435456","32754000000","18446744073530809057"
"20","512","10","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0115776","268435456","23185800000","18446744073530809057"
"20","512","10","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0104274","268435456","25743300000","18446744073530809057"
"20","512","10","B","512","1","16","1211,1136,683,1066","9920512,9306112,5595136,8732672","1211,1136,683,1066","9920512,9306112,5595136,8732672","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0104239","268435456","25751900000","18446744073530809057"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0235886","402653184","17069800000","18446744073656903484"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0129048","402653184","31201800000","18446744073656903484"
"21","768","1","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0112141","402653184","35906000000","18446744073656903484"
"22","768","2","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0258005","402653184","15606400000","18446744073656903484"
"22","768","2","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0157817","402653184","25513900000","18446744073656903484"
"22","768","2","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0132289","402653184","30437400000","18446744073656903484"
"23","768","3","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0276952","402653184","14538700000","18446744073656903484"
"23","768","3","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0295296","402653184","13635600000","18446744073656903484"
"23","768","3","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0138262","402653184","29122500000","18446744073656903484"
"24","768","4","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0235399","402653184","17105100000","18446744073656903484"
"24","768","4","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0162919","402653184","24714900000","18446744073656903484"
"24","768","4","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0132368","402653184","30419200000","18446744073656903484"
"25","768","5","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0213406","402653184","18867900000","18446744073656903484"
"25","768","5","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0149536","402653184","26926800000","18446744073656903484"
"25","768","5","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0109361","402653184","36818700000","18446744073656903484"
"26","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0301641","402653184","13348800000","18446744073656903484"
"26","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0167911","402653184","23980200000","18446744073656903484"
"26","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0340248","402653184","11834100000","18446744073656903484"
"27","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0860178","402653184","4681040000","18446744073656903484"
"27","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0153132","402653184","26294500000","18446744073656903484"
"27","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0096537","402653184","41709700000","18446744073656903484"
"28","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.160902","402653184","2502480000","18446744073656903484"
"28","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0148247","402653184","27161000000","18446744073656903484"
"28","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0108356","402653184","37160200000","18446744073656903484"
"29","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.027797","402653184","14485500000","18446744073656903484"
"29","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.121793","402653184","3306050000","18446744073656903484"
"29","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0086559","402653184","46517800000","18446744073656903484"
"30","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0334713","402653184","12029800000","18446744073656903484"
"30","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0172276","402653184","23372600000","18446744073656903484"
"30","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0140141","402653184","28732000000","18446744073656903484"
"31","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0114398","402653184","35197600000","18446744072675525801"
"31","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0664295","402653184","6061360000","18446744072675525801"
"31","768","1","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0108913","402653184","36970200000","18446744072675525801"
"32","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0155874","402653184","25832000000","18446744072675525801"
"32","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0218409","402653184","18435700000","18446744072675525801"
"32","768","2","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0276144","402653184","14581300000","18446744072675525801"
"33","768","3","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0110535","402653184","36427700000","18446744072675525801"
