"target_kib","variant","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second"
"512","A","10","20596180000","21027200000","17557100000","22799000000","1673721113.4475179"
"512","B","10","20724710000","20756700000","18449900000","22930500000","1550390707.8217411"
"768","A","10","21404700000","21492200000","17193400000","23348700000","1683056683.537426"
"768","B","10","20135380000","20497750000","16906400000","21562800000","1270192533.279896"
