"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"7","2","512","1","1","gemv-only","fused","0.0002698","3.3725E-05","337.25","67300","true","2097152","7772987398.07265","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","1","1","full","fused","0.0005684","7.105E-05","710.5","141865","true","2097152","3689570724.84166","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","1","1","full","fused","0.0005321","6.65125E-05","665.125","132820","true","2097152","3941274196.57959","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","1","1","gemv-only","fused","0.0001521","1.90125E-05","190.125","37965","true","2097152","13787981591.0585","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","3","512","1","1","transition-only","fused","0.0001643","2.05375E-05","205.375","40982.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","1","1","transition-only","fused","0.0005286","6.6075E-05","660.75","131959.875","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","1","1","gemv-only","fused","0.0002114","2.6425E-05","264.25","52785","true","2097152","9920302743.614","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","1","1","full","fused","0.0003625","4.53125E-05","453.125","90400","true","2097152","5785246896.55172","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","1","1","full","fused","0.0003446","4.3075E-05","430.75","86027.125","true","2097152","6085757399.88392","state","state checksum; actual GEMV followed by apply_transition","5156533420041995800","5156533420041995800","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","1","1","gemv-only","fused","0.0003089","3.86125E-05","386.125","77057.5","true","2097152","6789096795.07931","output","output checksum; GEMV output is deterministic and state remains frozen","7649350121136269137","7649350121136269137","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","1","1","transition-only","fused","7.49E-05","9.3625E-06","93.625","18712.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14659709760075817538","14659709760075817538","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","4","1","transition-only","fused","0.0003937","4.92125E-05","492.125","98190","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","4","1","gemv-only","fused","0.0006323","7.90375E-05","790.375","157797.5","true","8388608","13266816384.6276","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","4","1","full","fused","0.0012038","0.000150475","1504.75","300377.5","true","8388608","6968439940.1894","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","4","1","full","fused","0.0005471","6.83875E-05","683.875","136512.625","true","8388608","15332860537.3789","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","4","1","gemv-only","fused","0.0007246","9.0575E-05","905.75","180800","true","8388608","11576881037.814","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","4","1","transition-only","fused","0.0001961","2.45125E-05","245.125","48952.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","4","1","transition-only","fused","0.0006904","8.63E-05","863","172272.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","4","1","gemv-only","fused","0.000845","0.000105625","1056.25","210817.5","true","8388608","9927346745.56213","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","4","1","full","fused","0.0010188","0.00012735","1273.5","254242.5","true","8388608","8233812328.22929","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","4","1","full","fused","0.001121","0.000140125","1401.25","279742.625","true","8388608","7483147190.00892","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","4","1","gemv-only","fused","0.0008238","0.000102975","1029.75","205592.5","true","8388608","10182821073.076","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","3","512","4","1","transition-only","fused","0.0001864","2.33E-05","233","46509.75","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","512","4","1","transition-only","fused","0.000441","5.5125E-05","551.25","110062.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","512","4","1","gemv-only","fused","0.0003299","4.12375E-05","412.375","82315","true","8388608","25427729615.0349","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","3","512","4","1","full","fused","0.0010729","0.0001341125","1341.125","267720","true","8388608","7818629881.62923","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","512","4","1","full","fused","0.0013233","0.0001654125","1654.125","330187.5","true","8388608","6339158165.19308","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","512","4","1","gemv-only","fused","0.0010603","0.0001325375","1325.375","264562.5","true","8388608","7911542016.41045","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","3","512","4","1","transition-only","fused","0.0004874","6.0925E-05","609.25","121617.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","512","4","1","transition-only","fused","0.0002201","2.75125E-05","275.125","54932.75","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","512","4","1","gemv-only","fused","0.0004061","5.07625E-05","507.625","101312.5","true","8388608","20656508249.1997","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","4","1","full","fused","0.0006971","8.71375E-05","871.375","173940","true","8388608","12033579113.4701","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","4","1","full","fused","0.001111","0.000138875","1388.75","277222.5","true","8388608","7550502250.22502","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","4","1","gemv-only","fused","0.0011491","0.0001436375","1436.375","286752.5","true","8388608","7300154903.83779","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
