"target_kib","variant","n","mean_mac_per_second","median_mac_per_second","min_mac_per_second","max_mac_per_second","population_sd_mac_per_second"
"512","A","10","24622360000","26287800000","16677200000","28021900000","3874771974.76187"
"512","B","10","13528907000","15184950000","3760110000","16588700000","4017424721.77401"
"768","A","10","25452670000","26433000000","20584700000","28463700000","2678694283.06031"
"768","B","10","15441150000","15986450000","10932600000","16748600000","1581825379.26915"
