"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"G(S)","fused","512","4","4","128,128,128,128","10","5316571068.86165","3346508023.57705","5799846510.1808","719013452.694685","15893249788432566952","True","15893249788432566952","0.00631195","33554432","5316571068.86165","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","4","4","128,128,128,128","10","5176511878.45015","1466892478.52412","5664055637.1432","1162348671.99755","15893249788432566952","True","15893249788432566952","0.0064834","33554432","5176511878.45015","True","8","2","4","0,2,4,6"
"G(S)","fused","512","4","8","128,128,128,128","10","5063085763.14641","2270651025.71824","5501899093.24938","970126046.264766","16960448192799020260","True","16960448192799020260","0.0132548","67108864","5063085763.14641","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","4","8","128,128,128,128","10","4961145409.23342","4225653063.66607","5369783076.61532","350738451.065653","16960448192799020260","True","16960448192799020260","0.01352755","67108864","4961145409.23342","True","8","2","4","0,2,4,6"
"G(S)","fused","512","4","16","128,128,128,128","10","4625876438.08839","2082735564.76266","5183572639.60391","947876355.952623","13839699232716738356","True","13839699232716738356","0.0290537","134217728","4625876438.08839","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","4","16","128,128,128,128","10","4325074131.60332","3147171273.07601","4881443436.19865","656597375.523811","13839699232716738356","True","13839699232716738356","0.03105865","134217728","4325074131.60332","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","1","128,128,128,128","10","6422345066.53572","1180679249.53201","8387769223.07769","1882121619.85468","3842179408685066247","True","3842179408685066247","0.00261255","16777216","6422345066.53572","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","1","128,128,128,128","10","5956232206.12139","5350389386.7398","6816681293.67788","457048251.065666","3842179408685066247","True","3842179408685066247","0.0028201","16777216","5956232206.12139","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","2","128,128,128,128","10","5525182283.73093","1811491165.08576","5924785817.70668","1162025511.31536","10841506427571730443","True","10841506427571730443","0.006073","33554432","5525182283.73093","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","2","128,128,128,128","10","5208826360.71123","4026451310.97378","5600900031.71477","460024832.273378","10841506427571730443","True","10841506427571730443","0.00644185","33554432","5208826360.71123","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","4","128,128,128,128","10","5166952279.72438","4948593339.82244","5544995620.7757","210970377.455355","12407374104176774528","True","12407374104176774528","0.01298965","67108864","5166952279.72438","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","4","128,128,128,128","10","5281841593.12925","3847830878.34777","5483825586.71635","455893411.815684","12407374104176774528","True","12407374104176774528","0.0127058","67108864","5281841593.12925","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","8","128,128,128,128","10","3611539310.27382","1720971771.84108","5314648515.30234","1282917570.78717","15867929085574564979","True","15867929085574564979","0.03913575","134217728","3611539310.27382","True","8","2","4","0,2,4,6"
