"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"3","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.00028","4194304","14979657142.8571","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0002822","4194304","14862877391.9206","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0006429","4194304","6524037953.02535","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0003736","4194304","11226723768.7366","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.00048","4194304","8738133333.33333","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0010943","4194304","3832864845.10646","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0004558","4194304","9202071083.80869","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0004023","4194304","10425811583.3955","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0009153","4194304","4582436359.6635","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0007045","4194304","5953589779.98581","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0002842","4194304","14758282899.3666","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0006123","4194304","6850080026.13098","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
