"record_type","phase","D","target_kib","R","recurrence_G8_norm","static_A_G8","static_B_G8","recurrence_G16_norm","static_A_G16","static_B_G16","recurrence_F4_norm","static_A_F4","static_B_F4","recurrence_F8_norm","static_A_F8","static_B_F8","recurrence_F16_norm","static_A_F16","static_B_F16"
"R_comparison","pre-vectorization","512","512","1","0.966358827016472","3.68310617471143","3.00866782161825","0.897145588653662","3.61368386094739","2.89984750659786","0.704535314308742","2.75079966273639","2.34719063571348","1.003529659232","2.38512329728315","2.273716838206","0.958174956194889","2.57595449007579","2.38580425189595"
"R_comparison","pre-vectorization","512","512","2","0.992910373504885","3.30144366551322","2.89991738841515","1.00340183965817","2.67684698667783","2.80409770178193","1.01528065806866","2.21448936399182","2.24484029606932","0.957237160113605","2.97205103075818","2.45644075057027","1.42139449972605","2.65673818179366","2.9298948903707"
"R_comparison","pre-vectorization","512","512","4","0.919494683032224","2.99531374818979","2.79400206236888","0.545986616450613","3.05702816734946","2.86758880631512","0.952826525970212","2.62441363134658","2.3152624582374","0.930023573744254","2.47663485380447","2.31188558691198","1.22707618709411","2.69734254874591","2.45025369914623"
"R_comparison","pre-vectorization","512","512","8","1.29919075577135","2.9943301989989","2.75410865560255","0.913537763057626","3.01553533709307","2.96952806810453","1.07679073758755","2.37661790634989","2.33598576923678","1.06662856216621","2.70633097309126","2.78942687329772","1.04444608532535","3.1701630019955","2.81647481881036"
"R_comparison","pre-vectorization","512","512","16","1.15334710457868","2.91094647761422","3.44209703869699","1.03606117250204","3.12905416928858","3.59415810215594","1.08458743966628","2.62778403964841","2.93348773589984","1.08056445350753","2.42712035197101","2.64361321906842","0.947273031809509","2.76757407653036","2.85970758579984"
"R_comparison","post-vectorization","512","512","1","0.62072472928456","3.68310617471143","3.00866782161825","0.541425700232456","3.61368386094739","2.89984750659786","1.32810657064979","2.75079966273639","2.34719063571348","1.07825632787373","2.38512329728315","2.273716838206","1.00802745402745","2.57595449007579","2.38580425189595"
"R_comparison","post-vectorization","512","512","2","0.885614221221451","3.30144366551322","2.89991738841515","0.84262601662319","2.67684698667783","2.80409770178193","0.94420561702591","2.21448936399182","2.24484029606932","1.06073458800737","2.97205103075818","2.45644075057027","0.969129362267234","2.65673818179366","2.9298948903707"
"R_comparison","post-vectorization","512","512","4","0.714673544856245","2.99531374818979","2.79400206236888","0.743504494179702","3.05702816734946","2.86758880631512","1.0270566732387","2.62441363134658","2.3152624582374","0.97824824705945","2.47663485380447","2.31188558691198","1.4649417677929","2.69734254874591","2.45025369914623"
"R_comparison","post-vectorization","512","512","8","1.00353058944881","2.9943301989989","2.75410865560255","1.40660346884132","3.01553533709307","2.96952806810453","1.02054774563214","2.37661790634989","2.33598576923678","0.77074606204974","2.70633097309126","2.78942687329772","1.25633063085945","3.1701630019955","2.81647481881036"
"R_comparison","post-vectorization","512","512","16","0.753389115350225","2.91094647761422","3.44209703869699","1.38595228838459","3.12905416928858","3.59415810215594","1.06954847416073","2.62778403964841","2.93348773589984","0.970068525486672","2.42712035197101","2.64361321906842","1.03042738025354","2.76757407653036","2.85970758579984"
